feature,coefficient,absolute_coefficient,nonzero_train_count,nonzero_train_pct
categorical__admission_type_description_Elective,0.02348078050900739,0.02348078050900739,13133,18.362695749440718
categorical__medical_specialty_Psychiatry,-0.022932547446678116,0.022932547446678116,605,0.8459172259507829
categorical__medical_specialty_Radiologist,-0.021947578711692586,0.021947578711692586,789,1.1031879194630871
categorical__race_AfricanAmerican,-0.02185598456830916,0.02185598456830916,13509,18.88842281879195
categorical__age_[40-50),0.021504860265160273,0.021504860265160273,6853,9.581935123042506
categorical__admission_source_description_Transfer from another health care facility,0.01980651533615953,0.01980651533615953,1627,2.274888143176734
numeric__number_emergency,-0.018979550328023547,0.018979550328023547,71520,100.0
categorical__diag_3_family_Blood disorders,0.01855637752306373,0.01855637752306373,1778,2.4860178970917226
categorical__max_glu_serum_Norm,-0.018422483655000474,0.018422483655000474,1846,2.5810961968680086
categorical__admission_source_description_Physician Referral,-0.01831123379663534,0.01831123379663534,20630,28.84507829977629
categorical__diag_2_family_Mental disorders,0.014966905375664358,0.014966905375664358,1866,2.609060402684564
categorical__admission_source_description_Emergency Room,-0.014930823509440343,0.014930823509440343,40525,56.66247203579419
categorical__A1Cresult_Not recorded,-0.014297094164535035,0.014297094164535035,59541,83.2508389261745
categorical__glimepiride_Down,-0.01378346101592993,0.01378346101592993,130,0.18176733780760626
categorical__glyburide_No,0.011639012815836968,0.011639012815836968,64121,89.65464205816555
categorical__payer_code_HM,-0.010421555378527443,0.010421555378527443,4404,6.157718120805369
categorical__admission_type_description_Not Mapped,-0.009478501054632136,0.009478501054632136,230,0.3215883668903803
categorical__glipizide_Up,-0.009441486515403497,0.009441486515403497,549,0.7676174496644295
categorical__rosiglitazone_Up,-0.007592928137331317,0.007592928137331317,129,0.18036912751677853
categorical__diag_3_family_Infectious & parasitic,-0.006830515466028742,0.006830515466028742,1304,1.8232662192393736
numeric__num_lab_procedures,-0.005723711032419809,0.005723711032419809,71520,100.0
categorical__medical_specialty_Other,0.00392806350329558,0.00392806350329558,1031,1.4415548098434003
categorical__nateglinide_Steady,0.00351189622343421,0.00351189622343421,465,0.6501677852348994
categorical__glipizide_Down,0.0034507329818830737,0.0034507329818830737,388,0.5425055928411633
categorical__diag_2_family_Digestive,0.0031014423367782314,0.0031014423367782314,2753,3.849272930648769
categorical__nateglinide_No,-0.002477156323187065,0.002477156323187065,71026,99.3092841163311
numeric__prior_utilization_total,0.0024171114889909267,0.0024171114889909267,71520,100.0
categorical__admission_type_description_Emergency,-0.0017203316868384102,0.0017203316868384102,38013,53.150167785234906
categorical__race_Unknown,0.0013489980061612058,0.0013489980061612058,1621,2.2664988814317675
